model_name,random,apprentice,adventurer,knight
mill_random_89600.pt,99.9 : 27.7,91.0 : 33.8,65.3 : 42.5,57.599999999999994 : 41.0
mill_apprentice_89600.pt,99.9 : 30.4,96.7 : 27.4,81.0 : 38.4,69.3 : 37.0
mill_selfplay_89600.pt,99.8 : 29.1,79.9 : 32.3,75.4 : 37.0,63.800000000000004 : 38.4
